message,label
"You are worthless, go away","harmful"
"I think you should hurt yourself","harmful"
"Stop spreading fake news about people","harmful"
"Let's scam this person for money","harmful"
"Your post is disgusting","harmful"
"I hate people like you","harmful"
"This is fake information","harmful"
"That was a great post!","safe"
"Good morning everyone","safe"
"Let's help each other grow online","safe"
"I love how you explained that","safe"
"Stay safe online and donâ€™t click suspicious links","safe"
"Always verify news before sharing","safe"
"Be kind to others on social media","safe"
"Usijali bro, kila mtu hufanya makosa","safe"
"Una post ujinga, bro wachana na hizo","harmful"
"Hii story yako ni ya uongo, unadanganya watu","harmful"
"Tuko pamoja bro, usijali","safe"
"Let's make the internet a better place","safe"
